listing_id,brokered_by,status,price,bed,bath,acre_lot,street,city,state,zip_code,house_size,prev_sold_date
1,63921,for_sale,549000,4,4,5,705034,Ranburne,Alabama,36273,2919,
2,3505,for_sale,175000,3,2,0.77,1793777,Fort Payne,Alabama,35967,1234,
3,88491,for_sale,118500,3,1,0.14,1143001,Fort Payne,Alabama,35967,1276,5/25/21
4,108059,for_sale,489900,3,3,41,1729536,Henagar,Alabama,35978,1840,
5,56401,for_sale,350000,3,2,18,1859295,Centre,Alabama,35960,1980,
6,81685,for_sale,60000,3,2,2.08,1953174,Fort Payne,Alabama,35967,1980,
7,108156,for_sale,85000,3,2,4.02,1263578,Fort Payne,Alabama,35967,1980,
8,108156,for_sale,40000,3,2,2.13,1265826,Fort Payne,Alabama,35967,1980,
9,81685,for_sale,60000,3,2,1.29,1998164,Fort Payne,Alabama,35967,1980,
10,81685,for_sale,55000,3,2,1.28,1953175,Fort Payne,Alabama,35967,1980,
11,100350,for_sale,65000,3,2,1.68,15311,Centre,Alabama,35960,1980,
12,88491,for_sale,6000,3,2,0.7,1904543,Fort Payne,Alabama,35967,1980,
13,56400,for_sale,40000,3,2,2.07,1892488,Cedar Bluff,Alabama,35959,1980,
14,88491,for_sale,8000,3,2,0.43,1983495,Fort Payne,Alabama,35967,1980,
15,56401,for_sale,12500,3,2,0.85,1947247,Centre,Alabama,35960,1980,
16,56401,for_sale,12500,3,2,0.77,1947249,Centre,Alabama,35960,1980,
17,100350,for_sale,62500,3,2,1,1758948,Centre,Alabama,35960,1980,
18,56401,for_sale,14500,3,2,0.84,1865928,Centre,Alabama,35960,1980,
19,56400,for_sale,10000,3,2,1.03,1866255,Cedar Bluff,Alabama,35959,1980,
20,56400,for_sale,10000,3,2,1.03,1866104,Cedar Bluff,Alabama,35959,1980,
21,56401,for_sale,20000,3,2,0.83,1948021,Centre,Alabama,35960,1980,
22,56400,for_sale,8000,3,2,0.91,1866253,Cedar Bluff,Alabama,35959,1980,
23,56400,for_sale,8000,3,2,0.85,1866256,Cedar Bluff,Alabama,35959,1980,
24,56400,for_sale,8000,3,2,0.56,1864262,Cedar Bluff,Alabama,35959,1980,
25,56400,for_sale,8000,3,2,0.66,1864439,Cedar Bluff,Alabama,35959,1980,
26,81686,for_sale,20000,3,2,2.45,115327,Mentone,Alabama,35984,1980,
27,9153,for_sale,8900,3,2,0.64,1864120,Cedar Bluff,Alabama,35959,1980,
28,9153,for_sale,9000,3,2,0.82,1864121,Cedar Bluff,Alabama,35959,1980,
29,88491,for_sale,12000,3,2,2.25,1910246,Fort Payne,Alabama,35968,1980,
30,88491,for_sale,18000,3,2,2,1899134,Centre,Alabama,35960,1980,
31,88491,for_sale,120000,3,2,2.87,1865269,Cedar Bluff,Alabama,35959,1980,
32,16598,for_sale,19900,3,2,0.01,1863359,Centre,Alabama,35960,1980,
33,16598,for_sale,19900,3,2,0.7,1863361,Centre,Alabama,35960,1980,
34,16598,for_sale,19900,3,2,0.7,1863360,Centre,Alabama,35960,1980,
35,16598,for_sale,19900,3,2,0.7,1863362,Centre,Alabama,35960,1980,
36,62710,for_sale,120000,3,2,2.74,947814,Cedar Bluff,Alabama,35959,1980,
37,88491,for_sale,599900,3,2,329,1866257,Gaylesville,Alabama,35973,1980,
38,62710,for_sale,90000,3,2,1.63,676811,Cedar Bluff,Alabama,35959,1980,
39,62710,for_sale,85000,3,2,1.79,672932,Cedar Bluff,Alabama,35959,1980,
40,88491,for_sale,32000,3,2,1.55,1847237,Fort Payne,Alabama,35967,1980,
41,62710,for_sale,105000,3,2,0.8,962298,Cedar Bluff,Alabama,35959,1980,
42,62710,for_sale,110000,3,2,0.91,969439,Cedar Bluff,Alabama,35959,1980,
43,7501,for_sale,139900,3,2,64,1893467,Gaylesville,Alabama,35973,1980,
44,76480,for_sale,90000,3,2,5.8,1961716,Mentone,Alabama,35984,1980,
45,9153,for_sale,95900,3,2,0.7,1980571,Centre,Alabama,35960,1980,
46,84177,for_sale,29900,3,2,1,1229070,Mentone,Alabama,35984,1980,
47,62704,for_sale,55000,3,2,1.63,1864366,Cedar Bluff,Alabama,35959,1980,
48,100350,for_sale,48000,3,2,2.26,1864369,Cedar Bluff,Alabama,35959,1980,
49,62704,for_sale,55000,3,2,1.51,1864365,Cedar Bluff,Alabama,35959,1980,
50,9153,for_sale,37500,3,2,11,1866262,Cedar Bluff,Alabama,35959,1980,
51,56400,for_sale,15700,3,2,0.32,1891646,Cedar Bluff,Alabama,35959,1980,
52,56400,for_sale,15700,3,2,0.32,1891659,Cedar Bluff,Alabama,35959,1980,
53,88491,for_sale,400000,3,2,100,2000458,Fort Payne,Alabama,35967,1980,
54,56400,for_sale,14000,3,2,0.7,1883751,Centre,Alabama,35960,1980,
55,81685,for_sale,15000,3,2,0.52,1930366,Fort Payne,Alabama,35967,1980,
56,102608,for_sale,489900,3,2,315.15,1866257,Gaylesville,Alabama,35973,1980,
57,56295,for_sale,13900,3,2,0.92,1207852,Cedar Bluff,Alabama,35959,1980,
58,106932,for_sale,93000,3,2,0.7,1922103,Cedar Bluff,Alabama,35959,1980,
59,56400,for_sale,14000,3,2,0.47,1883755,Centre,Alabama,35960,1980,
60,70230,for_sale,115000,3,2,3.7,334817,Fort Payne,Alabama,35967,1980,
61,56295,for_sale,75000,3,2,4.88,1866102,Cedar Bluff,Alabama,35959,1980,
62,95830,for_sale,89500,3,2,4.5,1316783,Cedar Bluff,Alabama,35959,1980,
63,56401,for_sale,72000,3,2,2.2,5292,Centre,Alabama,35960,1980,
64,42249,for_sale,50000,3,2,0.47,1891823,Cedar Bluff,Alabama,35959,1980,
65,56400,for_sale,69500,3,2,0.25,1863895,Centre,Alabama,35960,1980,
66,56400,for_sale,77400,3,2,0.25,1863897,Centre,Alabama,35960,1980,
67,56400,for_sale,77400,3,2,0.25,1863896,Centre,Alabama,35960,1980,
68,56295,for_sale,59900,3,2,1,1864364,Cedar Bluff,Alabama,35959,1980,
69,88491,for_sale,79900,3,2,1,1864728,Mentone,Alabama,35984,1980,
70,16598,for_sale,399900,4,3,0.7,1847093,Centre,Alabama,35960,2709,
71,56400,for_sale,60000,3,2,10,1981015,Cedar Bluff,Alabama,35959,1980,
72,62704,for_sale,65900,3,2,8,326654,Centre,Alabama,35960,1980,8/21/20
73,95880,for_sale,49900,3,2,7.1,1951778,Mentone,Alabama,35984,1980,
74,88491,for_sale,22900,3,2,3.2,72401,Gaylesville,Alabama,35973,1980,
75,56400,for_sale,28000,3,2,2.8,1864340,Cedar Bluff,Alabama,35959,1980,
76,62704,for_sale,55000,3,2,2.61,1864354,Cedar Bluff,Alabama,35959,1980,
77,56400,for_sale,110000,3,2,40.96,1866174,Gaylesville,Alabama,35973,1980,
78,56400,for_sale,20000,3,2,0.47,1871403,Cedar Bluff,Alabama,35959,1980,
79,16598,for_sale,28500,3,2,1,1768248,Fort Payne,Alabama,35967,1980,
80,106932,for_sale,169000,2,1,0.7,1597743,Cedar Bluff,Alabama,35959,330,
81,95880,for_sale,850000,1,2,15,1439859,Piedmont,Alabama,36272,1080,
82,56400,for_sale,30000,3,2,0.93,1871402,Cedar Bluff,Alabama,35959,1980,
83,81685,for_sale,8900,3,2,0.34,1887192,Fort Payne,Alabama,35967,1980,
84,51485,for_sale,589000,3,3,29,1028044,Centre,Alabama,35960,4108,4/11/22
85,9955,for_sale,369000,3,2,19,1100463,Fort Payne,Alabama,35967,1980,
86,9955,for_sale,369000,3,2,19,1100464,Fort Payne,Alabama,35967,1980,
87,56400,for_sale,38000,3,2,1,1935870,Cedar Bluff,Alabama,35959,1980,
88,56400,for_sale,38000,3,2,0.58,1970888,Cedar Bluff,Alabama,35959,1980,
89,95880,for_sale,1250000,5,5,16.3,1535690,Fort Payne,Alabama,35967,5348,
90,108156,for_sale,74000,3,2,0.35,1952358,Mentone,Alabama,35984,1980,
91,81685,for_sale,39900,3,2,0.45,1866105,Fort Payne,Alabama,35967,1980,
92,83604,for_sale,179000,3,2,0.38,1658939,Cedar Bluff,Alabama,35959,1980,
93,81685,for_sale,279000,3,2,0.49,1336746,Fort Payne,Alabama,35967,1917,
94,93084,for_sale,320000,3,3,0.9,1609646,Fort Payne,Alabama,35967,2348,6/1/20
95,62710,for_sale,400000,3,2,1.13,1193848,Cedar Bluff,Alabama,35959,1807,
96,9955,for_sale,10000,3,2,0.52,1930527,Fort Payne,Alabama,35967,1980,
97,95829,for_sale,699900,4,3,10,306292,Centre,Alabama,35960,3710,
98,51485,for_sale,799999,3,3,18,1808155,Centre,Alabama,35960,2700,
99,108059,for_sale,159000,3,2,0.77,1866240,Mentone,Alabama,35984,1980,
100,9153,for_sale,139900,4,3,3,1737143,Centre,Alabama,35960,1960,11/10/21
101,97180,for_sale,18900,3,2,1,1863390,Centre,Alabama,35960,1980,
102,93084,for_sale,15900,3,2,1,1120807,Fort Payne,Alabama,35967,1980,
103,88491,for_sale,35000,3,2,2.3,1838561,Valley Head,Alabama,35989,1980,
104,56295,for_sale,99500,3,2,0.14,1951478,Cedar Bluff,Alabama,35959,1980,
105,106932,for_sale,93000,3,2,0.7,1864215,Centre,Alabama,35960,1980,
106,95880,for_sale,129000,3,2,0.34,1746279,Cedar Bluff,Alabama,35959,1980,
107,52925,for_sale,145000,4,2,0.7,968912,Piedmont,Alabama,36272,2016,
108,95830,for_sale,59900,2,1,0.49,1614184,Gaylesville,Alabama,35973,1600,
